Word,Definition,Level
mellifluous,sweetly flowing,4
levity,lack of seriousness,4
moot,open to discussion or debate; doubtful,4
gaucherie,socially awkward; tactless behavior,4
macabre,gruesome; suggesting death,4
amortize,end (a debt) by setting aside money,4
delineate,to portray depict sketch out,4
finical,too fussy about food clothing etc.,4
obviate,to make unnecessary get rid of,4
paean,song of praise or triumph,4
emote,stir up excite,4
nadir,lowest; weakest point,4
congeal,make or become stiff and solid,4
uncouth,rough awkward,4
verve,spirit vigor enthusiasm,4
lope,move along with long strides,4
fervor,warmth of feelings earnestness,4
lionize,treat as a famous person,4
expostulate,argue earnestly to dissuade correct or protest,4
epicurean,devoted to pleasure (sensuous enjoyment),4
discourse,speech lecture,4
sumptuous,magnificent,4
noisome,offensive; disgusting (smell),4
sophomoric,being immature,4
dogmatic,positive certain arbitrary without room for discussion,4
lassitude,weariness; tiredness,4
sanguine,cheerful; confident; optimistic,4
broach,bring up; announce; begin to talk about,4
irksome,tiresome,4
ostentation,display to obtain admiration or envy,4
requite,repay give in return,4
kibosh,"block, halt, stop",4
imperious,commanding; haughty; arrogant,4
gauche,hence; awkward,4
craven,cowardly,4
prodigal,wasteful; reckless with money,4
brash,hasty rush; cheeky; saucy,4
presage,warning sign,4
supine,lying on the back slow to act passive,4
didactic,intended to instruct,4
verdant,fresh and green,4
desiccant,substance used to absorb moisture,4
philistine,a smug ignorant person one who lacks knowledge,4
palatial,magnificent,4
epiphany,A Christian feast celebrating the manifestation of the divine nature of Jesus to the Gentiles as represented by the Magi.,4
prodigious,enormous; wonderful,4
trifling,unimportant,4
intransigent,uncompromising,4
ensconce,To settle (oneself) securely or comfortably,4
heretic,"recreant, protestant,skeptic",4
raconteur,person who tells anecdotes,4
ferment,substance become excited,4
perfidious,treacherous; faithless,4
agog,eager/excited,4
reactionary,opposing progress,4
hauteur,haughtiness,4
wile,a trick,4
qualm,feeling of doubt temporary feeling of sickness,4
dilettante,a lover of an art or science,4
rumple,make rough,4
curmudgeon,bad-tempered person,4
bequest,arrangement to give something at death,4
remonstrate,to protest object,4
propitious,auspicious; presenting favorable circumstances,4
drone,male bee person who isn't self-employed,4
stymie,to hinder obstruct or block,4
roll,call calling of names,4
inchoate,not yet fully formed; rudimentary; elementary,4
obtrusive,projecting; prominent; undesirably noticeable,4
reproach,scold upbraid,4
facetious,humorous; funny; jocular,4
rivet,fix take up secure metal pin,4
burgeon,grow forth send out buds,4
fatuous,without sense foolish; self-satisfaction,4
jibe,gibe; make fun of,4
baleful,harmful; ominous causing evil,4
rapacious,greedy (esp for money),4
wan,"looking ill, not bright",4
figurehead,carved image on the prow of a ship,4
fetid,stinking,4
overweening,presumptuously; arrogant; overbearing,4
preen,tidy/show self-satisfaction,4
vacillation,being uncertain hesitating,4
discountenance,refuse to approve of,4
eschew,avoid,4
provident,frugal; looking to the future,4
equanimity,calmness of temperament,4
pedantic,bookish showing off learning,4
extricable,that can be freed,4
barrage,artificial obstacle built across a river,4
impetuous,having sudden energy; impulsive,4
macerate,make or become soft by soaking in water,4
forswear,renounce; disallow; repudiate,4
mendicant,a beggar,4
hubris,arrogant; pride,4
atonement,repayment death of Jesus,4
saturnine,gloomy; dark; sullen; morose,4
supplicate,make a humble petition to,4
slur,join sounds/words (indistinct),4
rueful,dejected,4
excoriation,severe criticism,4
skiff,small boat,4
soporific,producing sleep,4
profundity,depth,4
blandness,polite manner; comforting; uninteresting,4
ford,shallow place in a river (to cross),4
cloture,closing device (in Parliament) to end a debate by voting,4
blithe,cheerful; casual; carefree,4
hallow,to make holy; consecrate,4
scabbard,sheath for the blade,4
egress,way out exit,4
boggle,To hesitate as if in fear or doubt,4
rant,use extravagant language,4
contemn,to scorn or despise,4
dereliction,deserting and leaving to fall into ruins,4
petrous,like a rock hard stony,4
benison,blessing,4
perspicacity,quick judging and understanding,4
tortuous,devious/not straightforward,4
seminal,like a seed constituting a source; originative,4
machination,plot; scheme (esp. evil),4
mendacity,dishonesty,4
entreat,ask earnestly,4
restive,refusing to move reluctant to be controlled,4
prudish,easily shocked; excessively modest,4
perfidy,treachery breaking of faith,4
esoteric,abstruse intended only for a small circle of,4
labyrinthine,to entangle the state of affairs,4
incumbents,official duties,4
prune,dried plum silly person,4
depredation,plundering,4
molt,lose hair/feathers before new growing,4
contrite,filled with deep sorrow for wrongdoing,4
manacle,chains for the hands or feet,4
stigmatize,describe somebody scornfully,4
imbroglio,complicated and embarrassing situation,4
germane,relevant; pertinent to,4
goad,something urging a person to action,4
probity,uprightness incorruptibility principle,4
forage,food for horses and cattle,4
indigence,poverty,4
maladroit,tactless; clumsy,4
fervid,showing earnest feeling,4
vacuity,idleness,4
overhaul,examine thoroughly to learn about the condition,4
cravat,piece of linen worn as a necktie,4
vestige,trace or sign,4
specious,illogical of questionable truth or merit,4
cordon,line (of police acting as a guard),4
flax,pale yellow (hair) a plant,4
aleck,one who considers himself smarter than others,4
poignant,deeply moving keen,4
exploit,brilliant achievement develop use selfishly,4
subsume,include under a rule,4
petulant,unreasonably; impatient,4
eddy,circular or spiral movement (e.g.. of wind),4
rubicund,red and healthy,4
interdict,prohibit forbid,4
platitude,a trite or banal statement unoriginality,4
parsimonious,too economical; miserly,4
severance,severing,4
ineluctable,certain; inevitable,4
insouciant,unconcerned; carefree,4
predilection,special liking mental preference,4
halcyon,calm and peaceful,4
flout,reject mock to go against (as in going against tradition),4
gouge,tool for cutting grooves in wood,4
lugubrious,mournful; excessively sad,4
upbraid,scold reproach,4
chary,cautious; wary,4
officious,too eager or ready to help offer advice,4
onerous,needing effortl burdensome,4
demagogue,person appealing not to reasons,4
profligate,wasteful prodigal licentious extravagant,4
feint,pretend,4
cabal,a scheme or plot a group of plotters,4
belligerent,(person nation) waging war,4
impute,to attribute to a cause or source ascribe,4
obsequious,too eager to obey or serve,4
retard,check hinder,4
deprecate,protest against; express disapproval of,4
inveterate,deep-rooted. long-established,4
mulct,"to deprive (someone) of something, as by fraud, extortion, etc.",4
aplomb,self-confidence,4
spurious,false; counterfeit,4
propitiatory,conciliatory; appeasing; mitigating,4
maudlin,sentimental in a silly or tearful way,4
tautology,a repetition a redundancy,4
dulcet,melodious; harmonious,4
shunt,send from one track to another lay aside evade discussion,5
inured,accustomed to adapted,5
denouement,an outcome or solution; the unraveling of a plot,5
plethora,glut,5
forge,workshop for the shaping of metal to shape metal lead,5
sordid,wretched; comfortless; contemptible,5
cursory,quick; hurried,5
argot,jargon; slang,5
gregarious,living in societies liking the company,5
sinuous,winding; undulating serpentine,5
hone,stone used for sharpening tools,5
impecunious,having little or no money,5
desultory,aimless;haphazard; digressing at random,5
augury,omenl sign,5
odium,intense hatred or dislike,5
vigilant,member of a vigilance committee,5
propinquity,nearness in time or place affinity of nature,5
salacious,obscene,5
homiletics,act of preaching,5
recalcitrant,disobedient,5
harangue,a long passionate speech,5
libertine,immoral person,5
turgid,excessively ornate swollen or bloated,5
epistle,letter,5
foible,defect of character (a person is wrongly proud),5
harrow,to distress; create stress or torment,5
inculcate,fix firmly by repetition,5
eclat,"Great brilliance, as of performance or achievement",5
deposition,dethronement; depositing,5
tangential,suddenly changeable,5
countervail,counterbalance,5
gainsay,to deny; to oppose,5
middling,fairly good but not very good,5
gossamer,soft light; delicate material,5
stentorian,extremely loud and powerful,5
resort,to frequently visit,5
divestiture,taking off getting rid of giving up,5
churl,bad-tempered person,5
repertoire,"A stock of plays, dances, or pieces that a company or a performer knows or is prepared to perform",5
nary,not any; no;,5
pinchbeck,An alloy of zinc and copper used as imitation gold; A cheap imitation,5
finicky,finical,5
temperance,abstinence from alcohol self-control moderation,5
profane,worldly having contempt for God,5
truculence,aggressiveness ferocity,5
glean,gather facts in small quantities,5
inveigh,to attack verbally; denounce; deprecate,5
levee,formal reception/embankment,5
diaphanous,transparent; gauzy,5
diffidence,shyness,5
trepidation,alarm excited state of mind,5
tenuous,insubstantial flimsy weak,5
rebuff,snub,5
nugatory,trifling/worthless,5
opprobrious,showing scorn or reproach,5
pucker,wrinkle,5
vitiate,lower the quality weaken the strength,5
disinter,dig up from the earth,5
foppish,like a man who pays too much attention to his clothes,5
astringent,substance that shrinks,5
detumescence,diminishing or lessening of swelling,5
panegyric,formal praise eulogy,5
flak,criticism; anti-aircraft guns,5
distrait,distracted,5
plod,continue doing something without resting,5
refractory,stubborn; unmanageable; intractable,5
ramify,to be divided or subdivided to branch out,5
expedient,likely to be useful for a purpose,5
fecund,fertile,5
encomium,warm or glowing praise eulogy panegyric,5
obloquy,abusively; detractive language; sharp criticism; vituperation,5
trenchant,forceful effective vigorous extremely perceptive incisive,5
disconcert,upset the self-possession of,5
pugnacious,fond of in the habit of fighting,5
quaff,drink deeply,5
vituperate,curse abuse in words,5
discomfit,confuse embarrass,5
quail,lose courage turn frightened,5
impudent,rash; indiscreet,5
calumny,slander; aspersion,5
nemesis,deserved and unavoidable punishment for wrong doing,5
sublime,extreme; astounding,5
peremptory,urgent; imperative; unchallenged; ending debate,5
blandishment,flattery; coaxing,5
rabble,mob crowd the lower classes of populace,5
untoward,unfortunate inconvenient,5
strut,a supporting bar,5
voluble,fluent,5
sermon,reproving a person for his faults,5
prosaic,straightforward.; lacking in imagination and spirit,5
bereft,rob or dispossess of something (material),5
fetter,to shackle put in chains,5
cant,insincere talk/jargon,5
glib,ready and smooth but not sincere,5
turpitude,wickedness shamefulness,5
raffish,showing vulgar in nature or appearance; tawdry,5
implicate,to be involved,5
asperity,roughness; harshness; ill temper; irritability,5
ensign,flag/badge,5
contumacious,insubordinate rebellious,5
idyll,a carefree episode or experience,5
quotidian,banal; everyday,5
teetotal,oppose to alcohol,5
veritable,real rightly named,5
simper,(give a) silly/self-conscious smile,5
mien,demeanor,5
invective,abusive language; curses,5
hirsute,hairy; shaggy,5
impugned,challenged to be doubted,5
umbrage,offense resentment,5
meretricious,attractive on the surface but of little value,5
incense,make angry,5
surfeit,satiate feed to fulness or to excess,5
endemic,epidemic,5
sophistry,fallacious; reasoning faulty logic,5
unencumbered,easy-going trifle,5
felicitous,suitably expressed; well chosen; apropos,5
hack,cut roughly; hired horse,5
atavistic,something reverting to an earlier type,5
mettle,quality of endurance or courage,5
miseenscene,the stage setting or scenery of a play,5
toady,obsequious flatterer,5
peregrination,traveling about wandering,5
forbear,refrain from; be patient; ancestor,5
ecumenical,representing the whole Christian world,5
incipient,beginning,5
ineffable,to great to be described in words,5
plaintive,mournful; melancholy; sorrowful,5
pine,waste away through sorrow or illness,5
ostensible,seeming appearing as such professed,5
piquant,agreeably pungent; stimulating,5
tout,"To solicit customers, votes, or patronage",5
tamp,tap or drive down by repeated light blows,5
canvass,discuss thoroughly sort of touting,5
minatory,menacing; threatening,5
slate,king of blue-grey stone propose criticize,5
stipple,paint with dots,5
plumb,get to the root of,5
stanch,to stop the flow of a fluid,5
fledged,able to fly trained experienced,5
demur,to hesitate; raise objections,5
aspersion,slander,5
deferential,showing respect,5
sundry,various miscellaneous; separate,5
blatant,noisy and rough,5
consternation,surprise and fear; dismay,5
cadge,to beg; to get by begging,5
brummagem,Cheap and showy,5
spurn,have nothing to do reject or refuse,5
purvey,provide supply,5
bedizen,to adorn especially in a cheap showy manner,5
desuetude,cessation of use disuse,5
obstreperous,noisy; loud,5
suppliant,asking humbly beseeching,5
countenance,to favor or approve of,5
presumption,arrogance,5
belabor,beat hard,5
redoubtable,formidable causing fear,5
balk,obstacle purposely to get on the way of,5
supercilious,disdainful characterized by haughty scorn,5
stygian,hence; dark; gloomy,5
virago,a loud domineering woman a scold or nag,5
orison,prayer,5
trite,not new,5
preponderance,greatness in number strength weight,5
reprobate,person hardened in sin; one devoid of decency,5
hermetic,sealed by fusion,5
expiation,ending; expiring,5
rebus,puzzle in which pictures stand for words,5
vagary,strange act or idea,5
imperviousness,not permitting penetration or passage; impenetrable,5
trencherman,person who eats a lot,5
hew,make by hard work cut (by striking),5
proscribe,denounce as dangerous,5
sententious,short and pithy full of maxims/proverbs,5
portent,omen marvelous threatening,5
doggerel,trivial poorly constructed verse,5
dissemble,speak or behave so as to hide something (in mind),5
venal,ready to do something dishonest,5
picaresque,involving clever rogues or adventurers,5
splenetic,bad-tempered;irritable,5
ferret,discover by searching search,5
petrified,taken away power (to think feel act),5
duress,threats to compel somebody,5
peripatetic,wandering,5
profligacy,shameless immorality,5
imprecation,an invocation of evil a curse,5
succor,assistance relief in time of distress,5
lithe,bending; twisting,5
mettlesome,courageous; high-spirited,5
froward,intractable not willing to yield or comply stubborn,5
travesty,parody/imitation,5
fulsome,disgusting offensive due to excessiveness,5
puissance,strength,5
acarpous,effete no longer fertile; worn out,5
pied,of mixed colors,5
pileous,Covered with hair,5
effete,infertile; worn out; weak,5
sobriquet,nickname,5
wend,to go proceed,5
edacious,voracious; devouring,5
constrain,compel,5
fulmination,bitter protest,5
slake,to assuage to satisfy allay,5
nibble,show some inclination to accept (an offer),5
pique,hurt the pride or self-respect stir (curiosity),5
ponderous,heavy; bulky; dull,5
brook,to tolerate; endure,5
detraction,slandering verbal attack aspersion,5
salutary,remedial wholesome causing improvement,5
welter,turmoil a bewildering jumble,5
repast,meal,5
cavalcade,a procession,5
nostrum,a quack remedy; an untested cure,5
nonplused,greatly surprised,5
pith,essential part force soft liquid substance,5
refulgent,shining; brilliant,5
stint,to be thrifty to set limits,5
suborn,induce by bribery or something to commit perjury,5
expatiate,to roam wander freely,5
recondite,little known; abstruse,5
garble,make unfair selection from facts,5
palaver,To flatter; to cajole,5
fustian,bombastic,5
mince,pronounce or speak affectedly euphemize,5
scurvy,mean; contemptible,5
epithet,adjective,5
sedulous,persevering,5
prolix,tiring because too long,5
importune,beg urgently solicit (of a prostitute),5
bilge,bulge; the protuberance of a cask,5
involute,complex,5
abraid,to awaken or rouse,5
sere,make hard and without feeling,5
droll,jesting,5
descry,catch sight of see something in the distance,5
brazen,made of brass,5
repine,at be discontented with,5
limn,paint portray,5
wag,merry person,5
coruscate,sparkle,5
lucubrate,write in scholarly fashion,5
crass,without refinement or sensitivity; gross.,5
consequential,pompous self important,5
foment,put something warm (to lessen the pain),5
recreancy,cowardice a cowardly giving up,5
testiness,witness/evidence,5
arrant,in the highest degree,5
quibble,try to avoid by sophistication,5
lam,a hasty escape; flight.,5
Archaic,marked by the characteristics of an earlier period,5
imbibe,to consume (liquids) by drinking; drink,5
repose,rest;sleep,5
perfunctorily,performed merely as a routine duty; hasty and superficial,5
impasse,a position or situation from which there is no escape; deadlock,5
pulchritudinous,physically beautiful; comely.,5
eupeptic,good digestion,5
Chicane,deception,5
brobdingnagian,gigantic,5
Exodus,a going out; a departure,5
Rejoinder,response,5
Furtive,"taken,done",5
